Year,Weekend,Movie,Weekend Gross,Theaters,Total Gross to Date
2024,Dec 27-29,+13.9%,"$159,403,178",+20.5%,Sonic the Hedgehog 3
2024,Dec 20-22,+59.8%,"$139,944,015",+50.9%,Sonic the Hedgehog 3
2024,Dec 13-15,-32.4%,"$87,557,182",-31.4%,Moana 2
2024,Dec 6-8Post-Thanksgiving,-52.9%,"$129,558,686",-50.4%,Moana 2
2024,Nov 29-Dec 1Thanksgiving 3-Day,+37.6%,"$274,782,835",+36.7%,Moana 2
2024,Nov 28-Dec 1Thanksgiving 4-Day,-,"$331,313,484",-,Moana 2
2024,Nov 27-Dec 1Thanksgiving 5-Day,-,"$421,199,078",-,Moana 2
2024,Nov 22-24,+202.9%,"$199,698,142",+189.6%,Wicked
2024,Nov 15-17,+6.2%,"$65,924,511",+1.5%,Red One
2024,Nov 8-10,-1.8%,"$62,096,528",-3.9%,Venom: The Last Dance
2024,Nov 1-3,-29.1%,"$63,211,547",-23.7%,Venom: The Last Dance
2024,Oct 25-27,+46.7%,"$89,097,223",+36.6%,Venom: The Last Dance
2024,Oct 18-20,-7%,"$60,750,112",-5.9%,Smile 2
2024,Oct 11-13,-20.5%,"$65,310,508",-16.7%,Terrifier 3
2024,Oct 11-14Indig. Peoples' Day wknd,-,"$76,691,023",-,Terrifier 3
2024,Oct 4-6,-2.6%,"$82,199,808",-5.7%,Joker: Folie à Deux
2024,Sep 27-29,+13%,"$84,351,917",+13.7%,The Wild Robot
2024,Sep 20-22,-13.3%,"$74,680,626",-12.7%,Beetlejuice Beetlejuice
2024,Sep 13-15,-39%,"$86,099,341",-36.5%,Beetlejuice Beetlejuice
2024,Sep 6-8,+108.1%,"$141,147,925",+79.4%,Beetlejuice Beetlejuice
2024,Aug 30-Sep 1,-17.6%,"$67,834,084",-7.4%,Deadpool & Wolverine
2024,Aug 30-Sep 2Labor Day wknd,-,"$87,597,444",-,Deadpool & Wolverine
2024,Aug 23-25,-38.5%,"$82,360,540",-36.7%,Deadpool & Wolverine
2024,Aug 16-18,-13.6%,"$133,867,955",-11%,Alien: Romulus
2024,Aug 9-11,-7%,"$154,916,671",-7.4%,Deadpool & Wolverine
2024,Aug 2-4,-41.1%,"$166,647,076",-40.2%,Deadpool & Wolverine
2024,Jul 26-28,+94.7%,"$283,134,352",+90.5%,Deadpool & Wolverine
2024,Jul 19-21,+23.4%,"$145,451,308",+21.5%,Twisters
2024,Jul 12-14,-22.3%,"$117,832,573",-21.2%,Despicable Me 4
2024,Jul 5-7,+3.2%,"$151,658,717",+1.2%,Despicable Me 4
2024,Jun 28-30,-0.8%,"$147,007,715",+0.4%,Inside Out 2
2024,Jun 21-23,-29.8%,"$148,254,918",-28.2%,Inside Out 2
2024,Jun 14-16,+111.6%,"$211,060,110",+105.2%,Inside Out 2
2024,Jun 7-9,+65.5%,"$99,767,088",+57.1%,Bad Boys: Ride or Die
2024,May 31-Jun 2,-38.3%,"$60,289,666",-34.8%,The Garfield Movie
2024,May 24-26,+7.2%,"$97,780,501",+5.5%,Furiosa: A Mad Max Saga
2024,May 24-27Memorial Day wknd,-,"$126,848,103",-,Furiosa: A Mad Max Saga
2024,May 17-19,-0.2%,"$91,192,848",+0.4%,IF
2024,May 10-12,+33.6%,"$91,335,805",+30%,Kingdom of the Planet of the Apes
2024,May 3-5,+21.1%,"$68,351,601",+15.3%,The Fall Guy
2024,Apr 26-28,-7.5%,"$56,431,872",-2.5%,Challengers
2024,Apr 19-21,-10.7%,"$60,997,717",-12.6%,Civil War
2024,Apr 12-14,-15.8%,"$68,334,834",-12%,Civil War
2024,Apr 5-7,-37.6%,"$81,139,811",-37.7%,Godzilla x Kong: The New Empire
2024,Mar 29-31,+32.1%,"$129,945,064",+32.3%,Godzilla x Kong: The New Empire
2024,Mar 29-Apr 1Easter wknd,-,"$144,556,947",-,Godzilla x Kong: The New Empire
2024,Mar 22-24,+18%,"$98,378,983",+18.1%,Ghostbusters: Frozen Empire
2024,Mar 15-17,-36.4%,"$83,390,150",-35.5%,Kung Fu Panda 4
2024,Mar 8-10,+20.4%,"$131,087,594",+18.7%,Kung Fu Panda 4
2024,Mar 1-3,+112.2%,"$108,910,449",+89.4%,Dune: Part Two
