Year,Weekend,Movie,Weekend Gross ($),Theaters Change (%),Movie,Special Days
2024,Dec 27-29,+13.9%,159403178.0,+20.5%,Sonic the Hedgehog 3,
2024,Dec 20-22,+59.8%,139944015.0,+50.9%,Sonic the Hedgehog 3,
2024,Dec 13-15,-32.4%,87557182.0,-31.4%,Moana 2,
2024,Dec 6-8,-52.9%,129558686.0,-50.4%,Moana 2,Post-Thanksgiving
2024,Nov 29-Dec 1,+37.6%,274782835.0,+36.7%,Moana 2,Thanksgiving 3-Day
2024,Nov 28-Dec 1,-,331313484.0,-,Moana 2,Thanksgiving 4-Day
2024,Nov 27-Dec 1,-,421199078.0,-,Moana 2,Thanksgiving 5-Day
2024,Nov 22-24,+202.9%,199698142.0,+189.6%,Wicked,
2024,Nov 15-17,+6.2%,65924511.0,+1.5%,Red One,
2024,Nov 8-10,-1.8%,62096528.0,-3.9%,Venom: The Last Dance,
2024,Nov 1-3,-29.1%,63211547.0,-23.7%,Venom: The Last Dance,
2024,Oct 25-27,+46.7%,89097223.0,+36.6%,Venom: The Last Dance,
2024,Oct 18-20,-7%,60750112.0,-5.9%,Smile 2,
2024,Oct 11-13,-20.5%,65310508.0,-16.7%,Terrifier 3,
2024,Oct 11-14,-,76691023.0,-,Terrifier 3,Indig. Peoples' Day wknd
2024,Oct 4-6,-2.6%,82199808.0,-5.7%,Joker: Folie à Deux,
2024,Sep 27-29,+13%,84351917.0,+13.7%,The Wild Robot,
2024,Sep 20-22,-13.3%,74680626.0,-12.7%,Beetlejuice Beetlejuice,
2024,Sep 13-15,-39%,86099341.0,-36.5%,Beetlejuice Beetlejuice,
2024,Sep 6-8,+108.1%,141147925.0,+79.4%,Beetlejuice Beetlejuice,
2024,Aug 30-Sep 1,-17.6%,67834084.0,-7.4%,Deadpool & Wolverine,
2024,Aug 30-Sep 2,-,87597444.0,-,Deadpool & Wolverine,Labor Day wknd
2024,Aug 23-25,-38.5%,82360540.0,-36.7%,Deadpool & Wolverine,
2024,Aug 16-18,-13.6%,133867955.0,-11%,Alien: Romulus,
2024,Aug 9-11,-7%,154916671.0,-7.4%,Deadpool & Wolverine,
2024,Aug 2-4,-41.1%,166647076.0,-40.2%,Deadpool & Wolverine,
2024,Jul 26-28,+94.7%,283134352.0,+90.5%,Deadpool & Wolverine,
2024,Jul 19-21,+23.4%,145451308.0,+21.5%,Twisters,
2024,Jul 12-14,-22.3%,117832573.0,-21.2%,Despicable Me 4,
2024,Jul 5-7,+3.2%,151658717.0,+1.2%,Despicable Me 4,
2024,Jun 28-30,-0.8%,147007715.0,+0.4%,Inside Out 2,
2024,Jun 21-23,-29.8%,148254918.0,-28.2%,Inside Out 2,
2024,Jun 14-16,+111.6%,211060110.0,+105.2%,Inside Out 2,
2024,Jun 7-9,+65.5%,99767088.0,+57.1%,Bad Boys: Ride or Die,
2024,May 31-Jun 2,-38.3%,60289666.0,-34.8%,The Garfield Movie,
2024,May 24-26,+7.2%,97780501.0,+5.5%,Furiosa: A Mad Max Saga,
2024,May 24-27,-,126848103.0,-,Furiosa: A Mad Max Saga,Memorial Day wknd
2024,May 17-19,-0.2%,91192848.0,+0.4%,IF,
2024,May 10-12,+33.6%,91335805.0,+30%,Kingdom of the Planet of the Apes,
2024,May 3-5,+21.1%,68351601.0,+15.3%,The Fall Guy,
2024,Apr 26-28,-7.5%,56431872.0,-2.5%,Challengers,
2024,Apr 19-21,-10.7%,60997717.0,-12.6%,Civil War,
2024,Apr 12-14,-15.8%,68334834.0,-12%,Civil War,
2024,Apr 5-7,-37.6%,81139811.0,-37.7%,Godzilla x Kong: The New Empire,
2024,Mar 29-31,+32.1%,129945064.0,+32.3%,Godzilla x Kong: The New Empire,
2024,Mar 29-Apr 1,-,144556947.0,-,Godzilla x Kong: The New Empire,Easter wknd
2024,Mar 22-24,+18%,98378983.0,+18.1%,Ghostbusters: Frozen Empire,
2024,Mar 15-17,-36.4%,83390150.0,-35.5%,Kung Fu Panda 4,
2024,Mar 8-10,+20.4%,131087594.0,+18.7%,Kung Fu Panda 4,
2024,Mar 1-3,+112.2%,108910449.0,+89.4%,Dune: Part Two,
2024,Feb 23-25,-26%,51332370.0,-23%,Bob Marley: One Love,
2024,Feb 16-19,-,82733326.0,-,Bob Marley: One Love,Presidents' Day wknd
2024,Feb 16-18,+138.4%,69396505.0,+112.5%,Bob Marley: One Love,
2024,Feb 9-11,-43.4%,29104430.0,-38.6%,Argylle,
